,City,Country,Lat,Lng,Max Temp,Humidity(%),Cloudiness(%),Wind Speed (mph),Date
0,punta arenas,CL,-53.15,-70.92,37.4,86,20,12.75,1596148461
1,saint-philippe,RE,-21.36,55.77,68,72,37,3.36,1596148461
2,saleaula,,,,,,,,
3,busselton,AU,-33.65,115.33,51.01,87,22,6.98,1596148461
4,mega,ET,4.05,38.3,59,99,11,10.54,1596148461
5,comodoro rivadavia,AR,-45.87,-67.5,39.2,93,100,2.35,1596148461
6,sulangan,PH,11.14,123.72,83.82,71,100,7.54,1596148462
7,praia da vitoria,PT,38.73,-27.07,71.6,78,75,11.63,1596148462
8,tianpeng,CN,30.99,103.94,75.99,99,99,3.89,1596148462
9,jingdezhen,CN,29.29,117.21,79.72,88,83,2.28,1596148462
10,mataura,NZ,-46.19,168.86,49.93,82,100,2.37,1596148462
11,samarkand,UZ,39.65,66.96,73.4,49,93,2.24,1596148462
12,taolanaro,,,,,,,,
13,rikitea,PF,-23.12,-134.97,72.95,86,98,13.94,1596148462
14,strathmore,CA,51.05,-113.39,80.01,72,13,5.01,1596148231
15,attawapiskat,,,,,,,,
16,hohoe,GH,7.15,0.47,71.62,89,14,3.76,1596148463
17,hermanus,ZA,-34.42,19.23,44.01,94,0,5.23,1596148463
18,lavrentiya,RU,65.58,-171,47.35,83,100,9.95,1596148463
19,dunedin,NZ,-45.87,170.5,53.01,67,100,4,1596148348
20,kilrush,IE,52.64,-9.48,60.8,82,75,19.46,1596148463
21,barrow,US,71.29,-156.79,37.4,93,90,8.05,1596148230
22,catamarca,AR,-28.47,-65.79,64,31,0,4,1596148464
23,celestun,MX,20.87,-90.4,85.64,70,30,18.9,1596148464
24,liverpool,GB,53.41,-2.98,69.01,68,79,8.05,1596148353
25,okitipupa,NG,6.5,4.78,74.82,87,97,3.96,1596148464
26,saint george,US,37.1,-113.58,109,7,1,13.87,1596148349
27,jamestown,US,42.1,-79.24,75.99,49,40,4.7,1596148302
28,aklavik,CA,68.22,-135.01,77,41,75,6.93,1596148203
29,sinnamary,GF,5.38,-52.95,79.23,78,7,4.59,1596148465
30,albany,US,42.6,-73.97,81,56,93,3,1596148465
31,luanda,AO,-8.84,13.23,69.8,88,75,6.93,1596148334
32,sao gabriel da cachoeira,BR,-0.13,-67.09,77.92,63,3,2.28,1596148465
33,villena,ES,38.64,-0.87,80.01,61,67,2.39,1596148465
34,vaini,TO,-21.2,-175.2,73.4,69,20,11.41,1596148466
35,charlestown,AU,-32.95,151.67,57.99,82,48,10.07,1596148466
36,sao jose da coroa grande,BR,-8.9,-35.15,74.1,81,7,12.12,1596148466
37,calamar,CO,10.25,-74.91,78.8,94,75,3.36,1596148466
38,norman wells,CA,65.28,-126.83,75.2,53,40,11.41,1596148466
39,ushuaia,AR,-54.8,-68.3,35.6,64,20,3.36,1596148466
40,avarua,CK,-21.21,-159.78,71.6,56,98,6.93,1596148466
41,touros,BR,-5.2,-35.46,75.2,73,0,6.93,1596148467
42,jega,NG,12.22,4.38,82.24,72,62,10.83,1596148467
43,bluff,NZ,-46.6,168.33,48.56,91,100,4.97,1596148467
44,nikolskoye,RU,59.7,30.79,57.2,87,20,4.47,1596148467
45,mar del plata,AR,-38,-57.56,50,70,100,8.05,1596148175
46,hithadhoo,MV,-0.6,73.08,83.03,75,89,7.83,1596148245
47,lagoa,PT,39.05,-27.98,70.32,75,51,11.83,1596148467
